mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
ABHD11|83451	1154.1074912674	449.09503878746	705.01245247994	7.7116949688032e-72	2.06157303912108e-70	7.44141152024188e-39	7.3223662197012e-39	5.22387360215982e-07
ABHD12B|145447	28.3206393813787	6.56974702512711	21.7508923562516	1.4698604556349e-16	4.63061301436859e-16	7.05293905020307e-05	1.04046390570013e-51	2.70493736657935e-15
ABHD12|26090	1798.83577544983	842.867384073018	955.968391376808	1.29593811944354e-100	7.77979693868285e-99	2.31579231124318e-46	3.87897718700592e-37	4.32141566626566e-08
ABHD13|84945	451.456393464868	592.64695238881	-141.190558923942	5.17121788032079e-15	1.50255129211529e-14	1.33441176882506e-19	2.9515783196432e-23	5.8582454907046e-07
ABHD14A|25864	271.61210970764	286.236178707054	-14.624068999414	0.223269683287114	0.259434595481789	0.000630932600500989	5.93030400789336e-37	3.02257871402692e-07
ABHD14B|84836	1545.63151533064	2574.51184279147	-1028.88032746083	1.26492986465704e-25	6.2234064345252e-25	7.167004156344e-36	3.12824307324429e-29	0.000151249091701898
ABHD15|116236	393.531299371847	679.83063422021	-286.299334848363	2.704153891056e-07	5.20327868203099e-07	7.07569136628743e-10	1.33491325556654e-43	2.28560385988216e-12
ABHD1|84696	21.8735465897483	33.6045179030139	-11.7309713132656	2.33107781610968e-08	4.75928387455726e-08	4.71538368305499e-15	9.33442670176647e-38	2.5074533935503e-09
ABHD2|11057	6158.20118286564	3232.94431842533	2925.25686444031	1.24324952398008e-26	6.3860785531236e-26	1.35405766162816e-05	3.09360379743631e-48	2.99406003522343e-06
ABHD3|171586	592.447731363904	335.323119214456	257.124612149448	4.32672383952839e-33	2.99097532489418e-32	9.79333803280162e-16	2.94711024381223e-41	2.55341605560868e-10
ABHD4|63874	937.755995772117	1018.05160299254	-80.2956072204217	0.00736380522059215	0.010303004292216	0.000625700524826395	4.46736983144113e-26	2.40036542263352e-06
ABHD5|51099	820.838114224008	1414.22945683897	-593.391342614963	1.00786202717967e-11	2.4586995342236e-11	6.87098316706417e-29	4.96821426656132e-24	2.73819392347484e-13
ABHD6|57406	142.782391034006	327.652340656072	-184.869949622066	2.24640956539097e-20	8.58385162610124e-20	9.57770816153757e-39	2.52887090782406e-43	6.22840063216551e-06
ABHD8|79575	299.982824421971	196.660757886413	103.322066535558	5.55377059207765e-23	2.40608702312611e-22	1.86614831517001e-14	4.75659878976638e-31	1.82526216143886e-10
ABI1|10006	1598.49646570245	1555.0419620814	43.454503621057	0.200854314144443	0.235212179083935	0.363270200842923	5.68844870142454e-36	0.000131785810281602
ABI2|10152	1344.66764626036	1692.54989200149	-347.882245741122	1.91129875829095e-08	3.92369511113603e-08	6.07319147932101e-11	1.80001856247062e-30	0.0861833807238912
ABI3BP|25890	472.451801869051	2109.4851917197	-1637.03338985065	2.72674473734582e-17	8.95008732253351e-17	1.03644213790811e-44	2.18261397951528e-46	9.59396356582748e-11
ABI3|51225	211.724379601951	178.70623244415	33.0181471578014	0.000284782360434702	0.000446632544655478	0.103170167707114	5.63577597160728e-35	2.34156832158448e-08
ABL1|25	2165.52524007743	2641.52652833475	-476.001288257316	1.37858086959454e-15	4.11390172000661e-15	9.45995542615588e-16	3.4699688104641e-11	0.0791540220641151
ABL2|27	1246.04038292039	1034.55223248411	211.488150436284	1.34172526683253e-09	2.93396117300444e-09	1.83385647322444e-06	3.91806016988693e-24	0.00210415563547725
ABLIM1|3983	2464.06076101019	6890.96400770962	-4426.90324669943	8.2789005305801e-40	7.46810662536643e-39	1.02167406237308e-59	4.18210617899008e-32	2.14920195984336e-05
ABLIM2|84448	85.3017552379994	126.77227754528	-41.4705223072802	0.390575541219972	0.429346599388941	0.42381122628224	8.44675133135139e-36	4.22861238838479e-23
ABLIM3|22885	736.294670050002	2055.850229976	-1319.555559926	7.38556307186047e-19	2.62250078568605e-18	7.58744645928612e-36	6.13962663207843e-32	3.67549275696831e-08
ABO|28	16.6236104751687	24.5751083616868	-7.95149788651803	3.08728425238655e-05	5.20189027375858e-05	2.9359843819904e-26	1.51699391109183e-50	4.50076441784953e-06
ABP1|26	83.3446132266121	6.12215129733888	77.2224619292732	3.18700200862561e-07	6.09977983025007e-07	4.8232331101333e-12	4.32214572664888e-57	1.6899962189258e-14
ABRA|137735	0.932622265295336	105.69624990649	-104.763627641195	0.312119113079582	0.35192034217348	7.8040636440869e-20	5.57336068859772e-59	1.65959470176445e-23
ABR|29	1773.34929644385	2084.27786223271	-310.92856578886	5.14761838142562e-14	1.41726904906865e-13	1.07791995334188e-11	1.42103226738297e-15	0.698101539886938
ABT1|29777	636.981824602446	519.977501970268	117.004322632178	3.06087948120431e-16	9.4642946729828e-16	8.99852566820588e-08	1.34604199440006e-31	0.00169937110713408
