	GSM2785932	GSM2785933	GSM2785934	GSM2785935	GSM2785936	GSM2785937	GSM2785938	GSM2785939	GSM2785940	GSM2785941	GSM2785942	GSM2785943	GSM2785944	GSM2785945	GSM2785946	GSM2785947	GSM2785948	GSM2785949	GSM2785950	GSM2785951	GSM2785952	tvalue	pvalue
CB_026436	-3.1072578	-3.8515682	-2.9226065	-3.6354876	-3.0785747	-3.3116212	-2.3840904	-3.7230735	-2.7106166	-3.7857542	-3.0286055	-3.368606	-1.7786055	-2.249847	-2.510192	-3.1874857	-2.7484841	-3.2418222	-1.5236888	-2.7991624	-2.8681374	5.76916122556116	0.000419685428364503
CB_026535	-3.0671182	-2.2286482	-2.2617779	-1.2440805	-2.3390846	-2.1897392	-2.9420595	-2.4874077	-2.8302631	-2.0345736	-2.8441162	-2.2565403	-3.3626685	-2.601313	-2.2206888	-1.7284937	-2.6448889	-1.1308742	-2.7974048	-1.7844663	-2.732298	-5.68005314054525	0.000464963359783465
CB_028082	0.95680237	-0.5618162	0.07478905	-0.8441062	0.9059105	-0.39788818	0.6874895	-1.0558004	2.1082888	-1.0567198	2.8491087	1.5257206	0.73555374	0.15475655	0.5630617	-0.6441612	-0.39987755	-1.2740965	0.6465311	-0.2606163	-0.051404953	5.62923575558084	0.000493170175147566
CB_028097	-0.20285797	0.5104637	0.7641916	1.1223755	-0.024673462	0.4537773	-0.74884224	0.078139305	-0.48496532	-0.17292118	0.39049244	0.4425993	-0.38349247	0.07405853	-0.10719395	0.3370819	-0.34081268	0.10326767	0.44926262	0.6103792	-1.3378067	-6.10769576807027	0.000287027665563619
CB_028412	2.2030945	2.1246748	1.8125639	1.3301592	3.3358746	2.8877468	2.4875708	1.8590221	2.103632	1.5083895	3.610425	3.0063934	2.3727741	1.5298777	1.9324236	1.4733353	1.9237032	1.5282669	1.782155	1.4853077	2.3094673	7.25490302018144	8.76353217410291e-05
CB_028866	0.10967159	0.3505335	1.2177687	1.5386391	0.5079365	1.0058298	-0.065032005	0.3714161	0.1476059	0.80059814	0.44935608	0.7236128	0.37810898	0.6116924	0.51962566	1.0236645	0.31605148	0.74913406	0.7829876	0.79385567	-0.5679102	-8.42073914504495	3.01394025872021e-05
CB_029215	1.8555002	1.5444984	1.0639763	0.42677784	0.75525475	0.40400314	1.9647541	1.7333832	1.1348143	0.53147125	1.93606	1.0398407	1.2876081	1.1467648	1.6893911	1.2827568	1.865797	1.3950434	1.0232649	0.6315918	1.2348557	5.80461284953465	0.000403038701012318
CB_029812	0.70064545	0.41854382	0.8428421	0.19928265	1.4926252	0.8665581	1.2007589	0.9972162	1.1600313	0.7081051	0.8992224	0.7970047	0.9747963	0.4199524	0.98735523	0.52552986	0.7924042	0.596365	0.7703924	0.32115746	0.9050808	5.84271062304133	0.000385954767855338
CB_030779	-0.53375816	-0.28968906	-0.74126625	-0.17594242	-1.026556	-0.66436577	-1.3180227	-0.51284313	-1.6378236	-1.015821	-1.3004036	-0.37834263	-1.2590342	-0.6067238	-1.1802149	-0.77757263	-1.1960154	-0.867157	-1.4344835	-0.8977051	-1.4793367	-7.14636743313378	9.7439082648528e-05
CB_030797	2.2979736	2.0328665	1.2897797	0.37877464	1.7472515	1.597065	2.6275692	2.2881365	2.1463423	1.4120426	2.467496	2.0213366	1.8381681	1.3676586	1.8083982	1.107686	2.0758533	1.791111	1.5381031	1.0120716	1.9995117	5.66202073881727	0.000474764308026147
CB_031104	-3.4155455	-2.907514	-4.2232404	-3.5099745	-3.284595	-2.8889732	-4.8023396	-4.129419	-4.036664	-3.769956	-3.220005	-2.6138926	-3.496375	-3.536571	-3.5744457	-3.0690312	-4.610322	-3.997799	-4.6077538	-4.289745	-4.687563	-5.96605019950289	0.00033588712614465
CB_031672	1.6264687	1.4118443	1.6255207	1.2708092	3.4213476	3.2069187	1.9734097	1.3907824	1.2769451	1.1014938	3.5054646	3.0396357	2.216051	1.5162563	1.5056581	1.0592251	1.7857513	1.2991505	1.0855398	1.3051186	1.2999706	6.75326685365665	0.000144568687903393
RNA158891|XLOC_008676	-5.220443	-4.4643164	-3.7759466	-3.1756926	-4.2382636	-3.4950824	-5.6853843	-4.9118547	-4.6667666	-4.2814627	-4.524995	-3.9023194	-4.1086054	-3.2297773	-4.52631	-4.094489	-3.8930383	-3.019423	-3.8975978	-3.8276901	-4.513599	-11.3620157156489	3.24731112520204e-06
RNA159188|XLOC_009588	-3.567193	-2.7722564	-2.4798942	-1.7437873	-3.0406022	-2.9285164	-4.004215	-3.345591	-2.9998379	-2.8045092	-3.1178036	-2.7166438	-4.158477	-3.4566765	-2.8068843	-2.3090372	-3.1502995	-2.4062662	-3.1659632	-2.3566155	-4.4204407	-6.40324025663535	0.000208411970297646
RNA160142|XLOC_011152	-5.342223	-4.541669	-3.8973165	-2.7751808	-4.660924	-3.678063	-5.619528	-5.0979686	-4.5979705	-3.8349028	-4.5419483	-3.7990546	-5.178657	-4.3910694	-3.6427116	-3.237234	-4.5306296	-4.231622	-4.2184877	-5.1611433	-5.4173975	-8.09891158039	3.99672145236128e-05
RNA161060|XLOC_012725	-2.8144174	-2.1528597	-1.7608905	-0.94619894	-1.7003393	-1.2175713	-2.7160048	-2.12647	-2.7773576	-1.8217444	-1.8043156	-1.673914	-2.2478514	-1.7456408	-1.4619236	-1.2680297	-1.9043398	-0.96079826	-2.029747	-1.6486382	2.00253	-5.93715184848774	0.000346941442324995
